Prefecture,Prefecture (si),Cases,Recovered,Deaths,longitude,latitude,type
Ampara,අම්පාර,3,0,0,81.149084,7.1240286,dist
Anuradhapura,අනුරාධපුරය,12,0,0,80.3682942,8.3352352,dist
Badulla,බදුල්ල,3,0,0,81.054977,6.993401,dist
Batticaloa,මඩකළපුව,1,0,0,81.701736,7.70788,dist
Colombo,කොළඹ,155,2,0,79.861244,6.927079,dist
Galle,ගාල්ල,1,0,0,80.220642,6.0402,dist
Gampaha,ගම්පහ,47,1,0,79.999634,7.09115,dist
Hambantota,හම්බන්තොට,3,0,0,81.0989819,6.1412789,dist
Jaffna,යාපනය,16,0,0,80.0109171,9.6699994,dist
Kalutara,කළුතර,63,0,0,79.9597504,6.5878321,dist
Kandy,මහනුවර,13,0,0,80.6082719,7.2945875,dist
Kegalle,කෑගල්ල,8,0,0,80.3369664,7.2534959,dist
Kilinochchi,කිලිනොච්චිය,0,0,0,80.3415849,9.3770193,dist
Kurunegala,කුරුණෑගල,20,0,0,80.3227609,7.4807041,dist
Mannar,මන්නාරම,0,0,0,79.8681162,8.9955907,dist
Matale,මාතලේ,1,0,0,80.6111954,7.4583785,dist
Matara,මාතර,2,0,0,80.5332384,5.9520346,dist
Moneragala,මොණරාගල,4,0,0,80.952821,6.8788518,dist
Mullaitivu,මුලතිව්,0,0,0,80.810591,9.2676912,dist
Nuwara Eliya,නුවරඑළිය,0,0,0,80.7634374,6.9514085,dist
Polonnaruwa,පොළොන්නරුව,1,0,0,80.9781591,7.9341968,dist
Puttalam,පුත්තලම,41,0,0,79.7977198,8.0304797,dist
Quarantine Centers,,41,0,0,79.405332,7.288919,qc
Ratnapura,රත්නපුර,8,0,0,80.3351206,6.7168596,dist
Trincomalee,ත්‍රිකුණාමලය ,1,0,0,81.1781972,8.5832926,dist
Vavuniya,වවුනියාව,2,0,0,80.4505436,8.7520511,dist
Naval Base - Welisara ,වවුනියාව,170,0,0,79.903983,7.02021,other
Unspecified,තවම නිශ්චිත නැති,33,131,7,79.605332,7.288919,uns